FED,Mode,day,zthour,Binary_Pellets
FED004,empty,-2,18,12.0
FED004,empty,-2,19,9.0
FED004,empty,-2,20,17.0
FED004,empty,-2,21,10.0
FED004,empty,-2,22,1.0
FED004,empty,-2,23,5.0
FED005,empty,-5,9,1.0
FED005,empty,-5,13,8.0
FED005,empty,-5,14,21.0
FED005,empty,-5,15,11.0
FED005,empty,-5,16,22.0
FED005,empty,-5,17,25.0
FED005,empty,-5,18,12.0
FED005,empty,-5,19,1.0
FED005,empty,-5,20,11.0
FED005,empty,-5,21,11.0
FED005,empty,-5,22,1.0
FED005,empty,-5,23,1.0
FED005,empty,-4,2,1.0
FED005,empty,-4,9,25.0
FED005,empty,-4,10,6.0
FED005,empty,-4,11,13.0
FED005,empty,-4,12,14.0
FED005,empty,-4,13,14.0
FED005,empty,-4,14,19.0
FED005,empty,-4,15,23.0
FED005,empty,-4,16,24.0
FED005,empty,-4,17,18.0
FED005,empty,-4,18,11.0
FED005,empty,-4,19,9.0
FED005,empty,-4,21,12.0
FED005,empty,-4,22,11.0
FED005,empty,-4,23,9.0
FED005,empty,-3,0,8.0
FED005,empty,-3,1,10.0
FED005,empty,-3,2,11.0
FED005,empty,-3,3,7.0
FED005,empty,-3,4,6.0
FED005,empty,-3,5,4.0
FED005,empty,-3,6,10.0
FED005,empty,-3,7,2.0
FED005,empty,-3,8,2.0
FED005,empty,-3,9,4.0
FED005,empty,-3,10,10.0
FED005,empty,-3,11,6.0
FED005,empty,-3,12,15.0
FED005,empty,-3,13,11.0
FED005,empty,-3,14,15.0
FED005,empty,-3,15,14.0
FED005,empty,-3,16,19.0
FED005,empty,-3,17,23.0
FED005,empty,-3,18,14.0
FED005,empty,-3,19,14.0
FED005,empty,-3,20,1.0
FED005,empty,-3,21,11.0
FED005,empty,-3,22,8.0
FED005,empty,-3,23,9.0
FED005,empty,-2,0,1.0
FED005,empty,-2,1,11.0
FED005,empty,-2,2,3.0
FED005,empty,-2,3,6.0
FED005,empty,-2,4,1.0
FED005,empty,-2,5,4.0
FED005,empty,-2,6,6.0
FED005,empty,-2,7,3.0
FED005,empty,-2,8,8.0
FED005,empty,-2,9,7.0
FED005,empty,-2,10,7.0
FED005,empty,-2,11,10.0
FED005,empty,-2,12,11.0
FED005,empty,-2,13,10.0
FED005,empty,-2,14,13.0
FED005,empty,-2,15,15.0
FED005,empty,-2,16,16.0
FED005,empty,-2,17,10.0
FED005,empty,-2,18,11.0
FED005,empty,-2,19,11.0
FED005,empty,-2,20,2.0
FED005,empty,-2,21,16.0
FED005,empty,-2,22,2.0
FED005,empty,-2,23,8.0
FED007,empty,-5,0,2.0
FED007,empty,-5,1,8.0
FED007,empty,-5,2,5.0
FED007,empty,-5,3,6.0
FED007,empty,-5,4,7.0
