day,zthour,day_label,id,mean
1.0,22,saline,561,5.77
1.0,23,saline,561,0.0244
2.0,0,0.2 mg/kg,561,4.57
2.0,1,0.2 mg/kg,561,0.0244
2.0,2,0.2 mg/kg,561,13.5
2.0,3,0.2 mg/kg,561,9.96
2.0,4,0.2 mg/kg,561,24.6
2.0,5,0.2 mg/kg,561,8.63
2.0,6,0.2 mg/kg,561,21.0
2.0,7,0.2 mg/kg,561,35.8
2.0,8,0.2 mg/kg,561,1.61
2.0,9,0.2 mg/kg,561,17.5
2.0,10,0.2 mg/kg,561,13.3
2.0,11,0.2 mg/kg,561,21.2
2.0,12,0.2 mg/kg,561,37.2
2.0,13,0.2 mg/kg,561,6.74
2.0,14,0.2 mg/kg,561,6.49
2.0,15,0.2 mg/kg,561,0.0244
2.0,16,0.2 mg/kg,561,0.902
2.0,17,0.2 mg/kg,561,0.0244
2.0,18,0.2 mg/kg,561,2.23
2.0,19,0.2 mg/kg,561,1.11
2.0,20,0.2 mg/kg,561,9.7
2.0,21,0.2 mg/kg,561,0.0244
2.0,22,0.2 mg/kg,561,12.6
2.0,23,0.2 mg/kg,561,0.0244
4.0,0,0.4 mg/kg,561,6.07
4.0,1,0.4 mg/kg,561,0.0244
4.0,2,0.4 mg/kg,561,0.878
4.0,3,0.4 mg/kg,561,4.84
4.0,4,0.4 mg/kg,561,15.4
4.0,5,0.4 mg/kg,561,8.44
4.0,6,0.4 mg/kg,561,3.03
4.0,7,0.4 mg/kg,561,27.8
4.0,8,0.4 mg/kg,561,7.25
4.0,9,0.4 mg/kg,561,1.88
4.0,10,0.4 mg/kg,561,10.0
4.0,11,0.4 mg/kg,561,4.6
4.0,12,0.4 mg/kg,561,34.0
4.0,13,0.4 mg/kg,561,35.7
4.0,14,0.4 mg/kg,561,0.687
4.0,15,0.4 mg/kg,561,0.0244
4.0,16,0.4 mg/kg,561,0.868
4.0,17,0.4 mg/kg,561,0.0244
4.0,18,0.4 mg/kg,561,0.0244
4.0,19,0.4 mg/kg,561,4.21
4.0,20,0.4 mg/kg,561,5.2
4.0,21,0.4 mg/kg,561,0.0244
4.0,22,0.4 mg/kg,561,0.416
4.0,23,0.4 mg/kg,561,0.0244
1.0,0,saline,EB0,34.8
1.0,1,saline,EB0,24.4
1.0,2,saline,EB0,40.6
1.0,3,saline,EB0,56.9
1.0,4,saline,EB0,53.3
1.0,5,saline,EB0,50.1
1.0,6,saline,EB0,59.2
1.0,7,saline,EB0,48.0
1.0,8,saline,EB0,55.1
1.0,9,saline,EB0,59.3
1.0,10,saline,EB0,54.9
1.0,11,saline,EB0,54.5
1.0,12,saline,EB0,51.5
1.0,13,saline,EB0,65.2
1.0,14,saline,EB0,60.9
1.0,15,saline,EB0,8.42
1.0,16,saline,EB0,23.4
1.0,17,saline,EB0,5.2
1.0,18,saline,EB0,6.74
1.0,19,saline,EB0,46.6
1.0,20,saline,EB0,10.3
1.0,21,saline,EB0,5.36
1.0,22,saline,EB0,29.1
1.0,23,saline,EB0,27.4
2.0,0,0.2 mg/kg,EB0,25.1
2.0,1,0.2 mg/kg,EB0,3.22
2.0,2,0.2 mg/kg,EB0,35.8
2.0,3,0.2 mg/kg,EB0,58.0
2.0,4,0.2 mg/kg,EB0,53.7
2.0,5,0.2 mg/kg,EB0,54.3
2.0,6,0.2 mg/kg,EB0,56.4
2.0,7,0.2 mg/kg,EB0,58.6
2.0,8,0.2 mg/kg,EB0,56.9
2.0,9,0.2 mg/kg,EB0,9.3
2.0,10,0.2 mg/kg,EB0,10.2
2.0,11,0.2 mg/kg,EB0,48.3
2.0,12,0.2 mg/kg,EB0,50.6
2.0,13,0.2 mg/kg,EB0,55.0
2.0,14,0.2 mg/kg,EB0,27.1
2.0,15,0.2 mg/kg,EB0,35.6
2.0,16,0.2 mg/kg,EB0,2.89
2.0,17,0.2 mg/kg,EB0,13.2
2.0,18,0.2 mg/kg,EB0,6.04
2.0,19,0.2 mg/kg,EB0,44.1
2.0,20,0.2 mg/kg,EB0,1.58
2.0,21,0.2 mg/kg,EB0,1.03
2.0,22,0.2 mg/kg,EB0,26.4
2.0,23,0.2 mg/kg,EB0,5.01
4.0,0,0.4 mg/kg,EB0,7.61
4.0,1,0.4 mg/kg,EB0,0.602
4.0,2,0.4 mg/kg,EB0,16.5
4.0,3,0.4 mg/kg,EB0,17.1
4.0,4,0.4 mg/kg,EB0,36.6
4.0,5,0.4 mg/kg,EB0,43.5
4.0,6,0.4 mg/kg,EB0,40.6
4.0,7,0.4 mg/kg,EB0,42.1
4.0,8,0.4 mg/kg,EB0,30.8
4.0,9,0.4 mg/kg,EB0,11.1
4.0,10,0.4 mg/kg,EB0,1.64
4.0,11,0.4 mg/kg,EB0,7.17
4.0,12,0.4 mg/kg,EB0,26.5
4.0,13,0.4 mg/kg,EB0,45.5
4.0,14,0.4 mg/kg,EB0,36.7
4.0,15,0.4 mg/kg,EB0,3.95
4.0,16,0.4 mg/kg,EB0,2.72
4.0,17,0.4 mg/kg,EB0,15.2
4.0,18,0.4 mg/kg,EB0,0.0244
4.0,19,0.4 mg/kg,EB0,7.7
4.0,20,0.4 mg/kg,EB0,0.494
4.0,21,0.4 mg/kg,EB0,11.1
4.0,22,0.4 mg/kg,EB0,6.64
4.0,23,0.4 mg/kg,EB0,0.926
1.0,0,saline,E95,18.1
1.0,1,saline,E95,7.49
1.0,2,saline,E95,41.5
1.0,3,saline,E95,34.2
1.0,4,saline,E95,16.0
1.0,5,saline,E95,49.2
1.0,6,saline,E95,55.4
1.0,7,saline,E95,27.9
1.0,8,saline,E95,17.7
1.0,9,saline,E95,29.0
1.0,10,saline,E95,25.9
1.0,11,saline,E95,29.9
1.0,12,saline,E95,35.3
1.0,13,saline,E95,29.7
1.0,14,saline,E95,36.5
1.0,15,saline,E95,7.87
1.0,16,saline,E95,9.75
1.0,17,saline,E95,17.1
1.0,18,saline,E95,2.96
1.0,19,saline,E95,15.8
1.0,20,saline,E95,7.11
1.0,21,saline,E95,27.6
1.0,22,saline,E95,5.95
1.0,23,saline,E95,13.4
2.0,0,0.2 mg/kg,E95,15.1
2.0,1,0.2 mg/kg,E95,5.95
2.0,2,0.2 mg/kg,E95,33.2
2.0,3,0.2 mg/kg,E95,33.2
2.0,4,0.2 mg/kg,E95,27.4
2.0,5,0.2 mg/kg,E95,35.5
2.0,6,0.2 mg/kg,E95,20.9
2.0,7,0.2 mg/kg,E95,29.7
2.0,8,0.2 mg/kg,E95,23.8
2.0,9,0.2 mg/kg,E95,40.2
2.0,10,0.2 mg/kg,E95,7.74
