device_number,behavior,hoursfloor,event
15,Seeking,10,4.0
15,Seeking,11,6.0
15,Seeking,12,20.0
15,Seeking,13,11.0
15,Seeking,14,15.0
15,Seeking,15,12.0
15,Seeking,16,10.0
15,Seeking,17,8.0
15,Seeking,18,3.0
15,Seeking,20,3.0
15,Seeking,23,3.0
15,Seeking,25,2.0
15,Seeking,26,1.0
15,Seeking,27,5.0
15,Seeking,28,1.0
15,Seeking,29,2.0
15,Seeking,30,5.0
15,Seeking,31,5.0
15,Seeking,32,3.0
15,Seeking,33,6.0
15,Seeking,34,4.0
15,Seeking,35,7.0
15,Seeking,36,15.0
15,Seeking,37,9.0
15,Seeking,38,6.0
15,Seeking,39,1.0
15,Seeking,40,5.0
15,Seeking,41,2.0
15,Seeking,42,8.0
15,Seeking,43,4.0
15,Seeking,45,4.0
15,Seeking,47,1.0
15,Seeking,49,2.0
15,Seeking,50,6.0
15,Seeking,51,3.0
15,Seeking,52,1.0
15,Seeking,53,1.0
15,Seeking,54,7.0
15,Seeking,55,7.0
15,Seeking,56,4.0
15,Seeking,57,8.0
15,Seeking,58,5.0
15,Seeking,60,8.0
15,Seeking,61,5.0
15,Seeking,62,5.0
15,Seeking,64,4.0
15,Seeking,65,1.0
15,Seeking,67,2.0
15,Seeking,68,1.0
15,Seeking,70,1.0
16,Exploring,-70,13.0
16,Exploring,-68,1.0
16,Exploring,-65,2.0
16,Exploring,-63,8.0
16,Exploring,-62,2.0
16,Exploring,-61,1.0
16,Exploring,-60,1.0
16,Exploring,-57,2.0
16,Exploring,-52,1.0
16,Exploring,-47,1.0
16,Exploring,-41,1.0
16,Exploring,-40,1.0
16,Exploring,-39,2.0
16,Exploring,-38,2.0
16,Exploring,-37,1.0
16,Exploring,-35,3.0
16,Exploring,-32,1.0
16,Exploring,-31,1.0
16,Exploring,-30,2.0
16,Exploring,-17,2.0
16,Exploring,-16,3.0
16,Exploring,-15,3.0
16,Exploring,-14,2.0
16,Exploring,-13,3.0
16,Exploring,-12,3.0
16,Exploring,-11,2.0
16,Exploring,-10,2.0
16,Exploring,-8,2.0
16,Exploring,-7,1.0
16,Exploring,-4,1.0
16,Exploring,2,1.0
16,Exploring,3,1.0
16,Exploring,9,1.0
16,Exploring,15,1.0
16,Exploring,20,3.0
16,Exploring,29,1.0
16,Exploring,30,1.0
16,Exploring,31,4.0
16,Exploring,32,3.0
16,Exploring,42,1.0
16,Exploring,44,1.0
16,Exploring,48,1.0
16,Exploring,53,1.0
16,Exploring,55,1.0
16,Exploring,57,2.0
16,Exploring,59,1.0
16,Exploring,65,1.0
16,Seeking,-70,3.0
16,Seeking,-65,2.0
16,Seeking,-63,5.0
16,Seeking,-62,6.0
16,Seeking,-61,1.0
16,Seeking,-57,5.0
16,Seeking,-55,1.0
16,Seeking,-54,3.0
16,Seeking,-50,1.0
16,Seeking,-47,1.0
16,Seeking,-46,1.0
16,Seeking,-44,1.0
16,Seeking,-41,3.0
16,Seeking,-40,2.0
16,Seeking,-39,8.0
16,Seeking,-38,3.0
16,Seeking,-37,7.0
16,Seeking,-36,9.0
16,Seeking,-35,10.0
16,Seeking,-34,4.0
16,Seeking,-32,1.0
16,Seeking,-31,2.0
16,Seeking,-30,2.0
16,Seeking,-27,2.0
16,Seeking,-26,2.0
16,Seeking,-21,1.0
16,Seeking,-19,1.0
16,Seeking,-17,6.0
16,Seeking,-16,2.0
16,Seeking,-15,4.0
16,Seeking,-14,4.0
16,Seeking,-13,8.0
16,Seeking,-12,3.0
16,Seeking,-11,3.0
16,Seeking,-9,1.0
16,Seeking,-8,5.0
16,Seeking,-5,2.0
16,Seeking,5,1.0
16,Seeking,7,10.0
16,Seeking,8,9.0
16,Seeking,9,16.0
16,Seeking,10,11.0
16,Seeking,11,9.0
16,Seeking,12,10.0
16,Seeking,13,17.0
16,Seeking,14,18.0
16,Seeking,15,13.0
16,Seeking,16,1.0
16,Seeking,17,4.0
16,Seeking,18,9.0
16,Seeking,20,4.0
16,Seeking,21,1.0
16,Seeking,23,1.0
16,Seeking,25,10.0
16,Seeking,26,2.0
16,Seeking,27,2.0
16,Seeking,29,4.0
16,Seeking,30,3.0
16,Seeking,31,6.0
16,Seeking,32,9.0
16,Seeking,33,8.0
16,Seeking,34,10.0
16,Seeking,35,16.0
16,Seeking,36,7.0
16,Seeking,37,11.0
16,Seeking,38,18.0
16,Seeking,39,13.0
16,Seeking,40,12.0
16,Seeking,41,9.0
16,Seeking,42,10.0
16,Seeking,43,3.0
16,Seeking,44,1.0
16,Seeking,46,1.0
16,Seeking,48,3.0
16,Seeking,49,8.0
16,Seeking,50,10.0
16,Seeking,53,3.0
16,Seeking,55,8.0
16,Seeking,56,2.0
16,Seeking,57,9.0
16,Seeking,58,4.0
16,Seeking,59,7.0
16,Seeking,60,8.0
16,Seeking,61,6.0
16,Seeking,62,4.0
16,Seeking,63,1.0
16,Seeking,64,1.0
16,Seeking,65,5.0
16,Seeking,66,2.0
16,Seeking,69,1.0
16,Seeking,70,1.0
16,Seeking,72,2.0
