device_number,behavior,hoursfloor,event
4,Seeking,54,7.0
4,Seeking,55,5.0
4,Seeking,56,4.0
4,Seeking,57,3.0
4,Seeking,58,5.0
4,Seeking,59,8.0
4,Seeking,60,4.0
4,Seeking,61,11.0
4,Seeking,62,5.0
4,Seeking,63,2.0
4,Seeking,64,3.0
4,Seeking,66,2.0
4,Seeking,68,2.0
4,Seeking,69,1.0
4,Seeking,71,3.0
7,Exploring,-63,1.0
7,Exploring,-60,1.0
7,Exploring,-59,4.0
7,Exploring,-58,2.0
7,Exploring,-56,2.0
7,Exploring,-55,1.0
7,Exploring,-52,1.0
7,Exploring,-46,1.0
7,Exploring,-41,1.0
7,Exploring,-39,1.0
7,Exploring,-38,1.0
7,Exploring,-32,1.0
7,Exploring,-26,1.0
7,Exploring,-15,1.0
7,Exploring,-14,2.0
7,Exploring,-13,3.0
7,Exploring,-8,1.0
7,Exploring,-7,2.0
7,Exploring,10,1.0
7,Exploring,12,3.0
7,Exploring,13,1.0
7,Exploring,30,2.0
7,Exploring,31,3.0
7,Exploring,32,2.0
7,Exploring,33,1.0
7,Exploring,34,1.0
7,Exploring,36,2.0
7,Exploring,37,2.0
7,Exploring,39,1.0
7,Exploring,43,1.0
7,Exploring,46,1.0
7,Exploring,52,1.0
7,Exploring,53,1.0
7,Exploring,54,3.0
7,Exploring,56,2.0
7,Exploring,57,1.0
7,Exploring,60,1.0
7,Exploring,61,6.0
7,Exploring,62,1.0
7,Exploring,65,1.0
7,Exploring,67,1.0
7,Exploring,68,1.0
7,Exploring,69,1.0
7,Seeking,-69,1.0
7,Seeking,-65,3.0
7,Seeking,-64,1.0
7,Seeking,-63,2.0
7,Seeking,-61,4.0
7,Seeking,-60,1.0
7,Seeking,-59,3.0
7,Seeking,-57,1.0
7,Seeking,-56,3.0
7,Seeking,-55,5.0
7,Seeking,-52,1.0
7,Seeking,-41,7.0
7,Seeking,-39,2.0
7,Seeking,-38,2.0
7,Seeking,-37,1.0
7,Seeking,-34,1.0
7,Seeking,-33,2.0
7,Seeking,-32,1.0
7,Seeking,-18,2.0
7,Seeking,-17,3.0
7,Seeking,-16,4.0
7,Seeking,-15,2.0
7,Seeking,-14,1.0
7,Seeking,-13,2.0
7,Seeking,-12,2.0
7,Seeking,-10,2.0
7,Seeking,-9,2.0
7,Seeking,-8,2.0
7,Seeking,2,2.0
7,Seeking,3,1.0
7,Seeking,6,2.0
7,Seeking,7,2.0
7,Seeking,8,5.0
7,Seeking,9,2.0
7,Seeking,10,4.0
7,Seeking,11,6.0
7,Seeking,12,11.0
7,Seeking,13,9.0
7,Seeking,14,9.0
7,Seeking,15,8.0
7,Seeking,17,1.0
7,Seeking,19,2.0
7,Seeking,25,1.0
7,Seeking,30,15.0
7,Seeking,31,7.0
7,Seeking,32,5.0
7,Seeking,33,11.0
7,Seeking,34,4.0
7,Seeking,36,10.0
7,Seeking,37,6.0
7,Seeking,38,5.0
7,Seeking,39,5.0
7,Seeking,43,2.0
7,Seeking,48,3.0
7,Seeking,51,1.0
7,Seeking,52,1.0
7,Seeking,53,1.0
7,Seeking,54,8.0
7,Seeking,55,4.0
7,Seeking,56,7.0
7,Seeking,57,3.0
7,Seeking,59,3.0
7,Seeking,60,7.0
7,Seeking,61,8.0
7,Seeking,62,3.0
7,Seeking,63,1.0
7,Seeking,67,1.0
7,Seeking,68,2.0
7,Seeking,71,1.0
8,Exploring,-63,1.0
8,Exploring,-61,2.0
8,Exploring,-60,1.0
8,Exploring,-59,6.0
8,Exploring,-55,3.0
8,Exploring,-53,1.0
8,Exploring,-52,1.0
8,Exploring,-48,1.0
8,Exploring,-45,1.0
8,Exploring,-41,2.0
8,Exploring,-38,5.0
8,Exploring,-37,9.0
8,Exploring,-36,2.0
8,Exploring,-35,1.0
8,Exploring,-32,2.0
8,Exploring,-31,1.0
8,Exploring,-28,1.0
8,Exploring,-27,1.0
8,Exploring,-21,2.0
8,Exploring,-17,1.0
8,Exploring,-15,1.0
8,Exploring,-14,2.0
8,Exploring,-13,2.0
8,Exploring,-12,4.0
8,Exploring,-11,1.0
8,Exploring,-8,4.0
8,Exploring,1,2.0
8,Exploring,2,1.0
8,Exploring,3,1.0
8,Exploring,5,1.0
8,Exploring,6,1.0
8,Exploring,11,2.0
8,Exploring,12,2.0
8,Exploring,13,6.0
8,Exploring,16,1.0
8,Exploring,19,1.0
8,Exploring,20,3.0
8,Exploring,22,1.0
8,Exploring,36,1.0
8,Exploring,38,1.0
8,Exploring,40,2.0
8,Exploring,42,1.0
8,Exploring,43,1.0
8,Exploring,44,1.0
8,Seeking,-63,1.0
8,Seeking,-61,2.0
8,Seeking,-59,1.0
8,Seeking,-46,1.0
8,Seeking,-41,3.0
8,Seeking,-40,1.0
8,Seeking,-39,2.0
8,Seeking,-38,3.0
8,Seeking,-37,1.0
8,Seeking,-36,1.0
8,Seeking,-32,1.0
8,Seeking,-26,1.0
8,Seeking,-22,1.0
8,Seeking,-15,2.0
8,Seeking,-14,3.0
8,Seeking,-13,2.0
8,Seeking,-12,3.0
8,Seeking,-11,1.0
8,Seeking,-8,1.0
8,Seeking,-7,1.0
8,Seeking,9,2.0
8,Seeking,10,5.0
8,Seeking,11,26.0
8,Seeking,12,7.0
8,Seeking,13,20.0
8,Seeking,14,16.0
8,Seeking,15,14.0
8,Seeking,16,12.0
8,Seeking,17,3.0
8,Seeking,19,1.0
8,Seeking,20,1.0
8,Seeking,24,2.0
8,Seeking,26,1.0
8,Seeking,29,2.0
8,Seeking,30,5.0
8,Seeking,31,2.0
8,Seeking,32,2.0
8,Seeking,33,6.0
8,Seeking,34,7.0
8,Seeking,35,2.0
8,Seeking,36,13.0
8,Seeking,37,4.0
8,Seeking,38,15.0
8,Seeking,39,10.0
8,Seeking,40,6.0
8,Seeking,41,8.0
8,Seeking,42,3.0
8,Seeking,46,1.0
8,Seeking,47,1.0
10,Exploring,-65,2.0
10,Exploring,-61,1.0
10,Exploring,-60,2.0
10,Exploring,-58,1.0
10,Exploring,-56,1.0
10,Exploring,-46,1.0
10,Exploring,-41,1.0
10,Exploring,-40,2.0
10,Exploring,-39,4.0
10,Exploring,-38,2.0
10,Exploring,-37,1.0
10,Exploring,-36,2.0
10,Exploring,-34,1.0
10,Exploring,-33,1.0
10,Exploring,-27,1.0
10,Exploring,-20,1.0
10,Exploring,-18,1.0
10,Exploring,-17,1.0
10,Exploring,-15,1.0
10,Exploring,-14,2.0
10,Exploring,-13,2.0
10,Exploring,-12,1.0
10,Exploring,-9,2.0
10,Exploring,-8,1.0
10,Exploring,2,1.0
10,Exploring,7,1.0
10,Exploring,9,1.0
10,Exploring,10,1.0
10,Exploring,30,1.0
10,Exploring,31,1.0
10,Exploring,34,2.0
10,Exploring,35,2.0
10,Exploring,36,4.0
10,Exploring,37,2.0
10,Exploring,38,1.0
10,Exploring,39,2.0
10,Exploring,40,2.0
10,Exploring,43,1.0
10,Exploring,47,1.0
10,Exploring,48,2.0
10,Exploring,49,2.0
10,Exploring,54,1.0
10,Exploring,55,2.0
10,Exploring,57,1.0
10,Exploring,63,2.0
10,Exploring,65,1.0
10,Seeking,-64,1.0
10,Seeking,-60,2.0
10,Seeking,-57,3.0
10,Seeking,-56,2.0
10,Seeking,-42,1.0
10,Seeking,-41,1.0
10,Seeking,-40,1.0
10,Seeking,-39,2.0
10,Seeking,-38,1.0
10,Seeking,-37,2.0
10,Seeking,-36,1.0
10,Seeking,-35,1.0
10,Seeking,-34,3.0
10,Seeking,-33,1.0
10,Seeking,-32,1.0
10,Seeking,-31,1.0
10,Seeking,-23,1.0
10,Seeking,-18,3.0
10,Seeking,-17,1.0
10,Seeking,-16,2.0
10,Seeking,-15,1.0
10,Seeking,-14,3.0
10,Seeking,-12,2.0
10,Seeking,-9,1.0
10,Seeking,-8,1.0
10,Seeking,7,2.0
10,Seeking,8,4.0
10,Seeking,9,5.0
10,Seeking,10,8.0
10,Seeking,11,15.0
10,Seeking,12,6.0
10,Seeking,13,5.0
10,Seeking,15,4.0
10,Seeking,16,4.0
10,Seeking,22,1.0
10,Seeking,23,2.0
10,Seeking,25,5.0
10,Seeking,26,1.0
10,Seeking,27,5.0
10,Seeking,29,4.0
10,Seeking,30,7.0
10,Seeking,31,9.0
10,Seeking,32,3.0
10,Seeking,33,4.0
10,Seeking,34,8.0
10,Seeking,35,8.0
10,Seeking,36,11.0
10,Seeking,37,7.0
10,Seeking,38,6.0
10,Seeking,39,7.0
10,Seeking,40,4.0
10,Seeking,41,1.0
10,Seeking,42,1.0
10,Seeking,43,4.0
10,Seeking,45,1.0
10,Seeking,47,1.0
10,Seeking,48,1.0
10,Seeking,49,3.0
10,Seeking,50,6.0
10,Seeking,51,1.0
10,Seeking,52,1.0
10,Seeking,53,3.0
10,Seeking,54,5.0
10,Seeking,55,12.0
10,Seeking,56,2.0
10,Seeking,57,4.0
10,Seeking,58,1.0
10,Seeking,59,5.0
10,Seeking,60,6.0
10,Seeking,61,1.0
10,Seeking,63,8.0
10,Seeking,69,2.0
11,Exploring,-70,1.0
11,Exploring,-66,3.0
11,Exploring,-65,2.0
11,Exploring,-63,2.0
11,Exploring,-59,1.0
11,Exploring,-56,1.0
11,Exploring,-52,2.0
11,Exploring,-42,1.0
11,Exploring,-41,3.0
11,Exploring,-40,1.0
11,Exploring,-39,1.0
11,Exploring,-38,1.0
11,Exploring,-37,1.0
11,Exploring,-36,1.0
11,Exploring,-35,2.0
11,Exploring,-15,1.0
11,Exploring,-14,2.0
11,Exploring,-11,2.0
11,Exploring,-10,2.0
11,Exploring,-7,1.0
11,Exploring,-5,1.0
11,Exploring,2,1.0
11,Exploring,26,1.0
11,Exploring,28,1.0
11,Exploring,29,1.0
11,Exploring,35,1.0
11,Exploring,38,1.0
11,Exploring,40,1.0
11,Exploring,41,1.0
11,Exploring,44,1.0
11,Exploring,61,1.0
11,Exploring,65,1.0
11,Seeking,-70,1.0
11,Seeking,-68,1.0
11,Seeking,-67,1.0
11,Seeking,-66,2.0
11,Seeking,-65,8.0
11,Seeking,-64,6.0
11,Seeking,-63,7.0
11,Seeking,-62,4.0
11,Seeking,-61,6.0
11,Seeking,-60,2.0
11,Seeking,-57,2.0
11,Seeking,-56,2.0
11,Seeking,-55,2.0
11,Seeking,-52,1.0
11,Seeking,-42,5.0
11,Seeking,-41,3.0
11,Seeking,-40,1.0
11,Seeking,-39,5.0
11,Seeking,-38,3.0
11,Seeking,-37,1.0
11,Seeking,-36,1.0
11,Seeking,-35,1.0
11,Seeking,-34,1.0
11,Seeking,-33,2.0
11,Seeking,-32,1.0
11,Seeking,-28,1.0
11,Seeking,-23,2.0
11,Seeking,-20,1.0
11,Seeking,-18,1.0
11,Seeking,-17,4.0
11,Seeking,-16,3.0
11,Seeking,-15,3.0
11,Seeking,-14,3.0
11,Seeking,-13,2.0
11,Seeking,-12,1.0
